city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Houston,TX,Texas
Phoenix,AZ,Arizona
Philadelphia,PA,Pennsylvania
San Antonio,TX,Texas
San Diego,CA,California
Dallas,TX,Texas
San Jose,CA,California
Austin,TX,Texas
Jacksonville,FL,Florida
San Francisco,CA,California
Columbus,OH,Ohio
Indianapolis,IN,Indiana
Seattle,WA,Washington
Denver,CO,Colorado
Boston,MA,Massachusetts
Detroit,MI,Michigan
Nashville,TN,Tennessee
Portland,OR,Oregon
Las Vegas,NV,Nevada
Miami,FL,Florida
Atlanta,GA,Georgia